"Code","Description","Parent"
"11","přípravné a přidružené práce","1"
"111","odstranění travin a křovin","11"
"1111","odstranění travin","111"
"11111","ručně","1111"
"11115","strojně","1111"
"1112","odstranění křovin","111"
"11121","ručně","1112"
"11125","strojně","1112"
"1113","sejmutí drnu","111"
"11131","ručně","1113"
"11135","strojně","1113"
"112","kácení stromů a odstranění pařezů","11"
"1121","kácení stromů","112"
"11211","ručně","1121"
"11215","strojně","1121"
"1122","odstranění pařezů","112"
"11221","ručně","1122"
"11225","strojně","1122"
"1123","přemístění","112"
"11231","ručně","1123"
"11235","strojně","1123"
"113","odstranění vozovek a jiných zpevněných ploch a podkladů","11"
"1131","odstranění krytů vozovek a zpevněných ploch","113"
"11311","ručně","1131"
"11315","strojně","1131"
"1132","odstranění obrubníků, obrub, krajníků, zábradlí","113"
"11321","ručně","1132"
"11325","strojně","1132"
"1133","odstranění podkladů","113"
"11331","ručně","1133"
"11335","strojně","1133"
"114","odstranění konstrukcí vodních koryt","11"
"1141","odstranění dlažeb","114"
"11411","ručně","1141"
"11415","strojně","1141"
"1142","odstranění jiných konstrukcí (záhozy, rovnaniny, příčné prahy aj.)","114"
"11421","ručně","1142"
"11425","strojně","1142"
"115","čerpání vody ","11"
"1151","čerpadly","115"
"11511","ručně","1151"
"11515","strojně","1151"
"1152","jehlofiltry","115"
"11521","ručně","1152"
"11525","strojně","1152"
"116","úprava a příprava zemin","11"
"1161","třídění","116"
"11611","ručně","1161"
"11615","strojně","1161"
"1169","ostatní","116"
"11691","ručně","1169"
"11695","strojně","1169"
"117","odstranění sněhu a ledu","11"
"1171","bez členění","117"
"11711","ručně","1171"
"11715","strojně","1171"
"119","ostatní","11"
"12","odkopávky a prokopávky","1"
"121","sejmutí ornice a lesní půdy","12"
"1211","tř. horniny 1-2","121"
"12111","ručně","1211"
"12115","strojně","1211"
"1212","tř. horniny 3","121"
"12121","ručně","1212"
"12125","strojně","1212"
"1213","tř. horniny 4","121"
"12131","ručně","1213"
"12135","strojně","1213"
"1214","tř. horniny 5","121"
"12141","ručně","1214"
"12145","strojně","1214"
"1215","tř. horniny 6","121"
"12151","ručně","1215"
"12155","strojně","1215"
"1216","tř. horniny 7","121"
"12161","ručně","1216"
"12165","strojně","1216"
"1217","tř. horniny 1-4","121"
"12171","ručně","1217"
"12175","strojně","1217"
"1218","tř. horniny 5-7","121"
"12181","ručně","1218"
"12185","strojně","1218"
"1219","ostatní","121"
"12191","ručně","1219"
"12195","strojně","1219"
"122","odkopávky, prokopávky (zahrnuje i výkopky v zemnících)","12"
"1221","tř. horniny 1-2","122"
"12211","ručně","1221"
"12215","strojně","1221"
"1222","tř. horniny 3","122"
"12221","ručně","1222"
"12225","strojně","1222"
"1223","tř. horniny 4","122"
"12231","ručně","1223"
"12235","strojně","1223"
"1224","tř. horniny 5","122"
"12241","ručně","1224"
"12245","strojně","1224"
"1225","tř. horniny 6","122"
"12251","ručně","1225"
"12255","strojně","1225"
"1226","tř. horniny 7","122"
"12261","ručně","1226"
"12265","strojně","1226"
"1227","tř. horniny 1-4","122"
"12271","ručně","1227"
"12275","strojně","1227"
"1228","tř. horniny 5-7","122"
"12281","ručně","1228"
"12285","strojně","1228"
"1229","ostatní","122"
"12291","ručně","1229"
"12295","strojně","1229"
"123","vykopávky zářezů pro podzemní vedení","12"
"1231","tř. horniny 1-2","123"
"12311","ručně","1231"
"12315","strojně","1231"
"1232","tř. horniny 3","123"
"12321","ručně","1232"
"12325","strojně","1232"
"1233","tř. horniny 4","123"
"12331","ručně","1233"
"12335","strojně","1233"
"1234","tř. horniny 5","123"
"12341","ručně","1234"
"12345","strojně","1234"
"1235","tř. horniny 6","123"
"12351","ručně","1235"
"12355","strojně","1235"
"1236","tř. horniny 7","123"
"12361","ručně","1236"
"12365","strojně","1236"
"1237","tř. horniny 1-4","123"
"12371","ručně","1237"
"12375","strojně","1237"
"1238","tř. horniny 5-7","123"
"12381","ručně","1238"
"12385","strojně","1238"
"1239","ostatní","123"
"12391","ručně","1239"
"12395","strojně","1239"
"124","vykopávky koryt","12"
"1241","tř. horniny 1-2","124"
"12411","ručně","1241"
"12415","strojně","1241"
"1242","tř. horniny 3","124"
"12421","ručně","1242"
"12425","strojně","1242"
"1243","tř. horniny 4","124"
"12431","ručně","1243"
"12435","strojně","1243"
"1244","tř. horniny 5","124"
"12441","ručně","1244"
"12445","strojně","1244"
"1245","tř. horniny 6","124"
"12451","ručně","1245"
"12455","strojně","1245"
"1246","tř. horniny 7","124"
"12461","ručně","1246"
"12465","strojně","1246"
"1247","tř. horniny 1-4","124"
"12471","ručně","1247"
"12475","strojně","1247"
"1248","tř. horniny 5-7","124"
