"Code","Description","Parent"
"21","úprava podloží a základové spáry, zlepšování vlastností hornin","2"
"211","odvodnění zářezy a žebry","21"
"2115","z kameniva","211"
"21150","bez členění","2115"
"21152","hrubého drceného - makadam","2115"
"21153","hrubého drceného - štěrk","2115"
"21154","ze štěrkodrtě","2115"
"21155","ze strusky a struskového kameniva","2115"
"21156","drobného drceného","2115"
"21157","těženého (písek) a štěrkopísku","2115"
"21158","ze škváry, suti a haldoviny","2115"
"21159","ostatní","2115"
"2119","ostatní","211"
"21190","bez materiálu","2119"
"21197","z lepenky, plsti a tkanin","2119"
"212","trativody","21"
"2121","z prefabrikovaných dílců","212"
"21210","z dílců bez ohledu na materiál","2121"
"21211","z dílců betonových","2121"
"2123","betonové monolitické","212"
"21230","bez ohledu na materiál","2123"
"21231","z betonu prostého a prokládaného","2123"
"21232","ze železobetonu","2123"
"21234","z mezerovitého nebo lehkého betonu","2123"
"21239","ostatní","2123"
"2124","z malt a pojiv","212"
"21240","bez ohledu na druh malt a pojiv","2124"
"21241","z cementu, vápna, barviv (mimo malt)","2124"
"21242","z malty vápenné a vápenocementové","2124"
"21248","vložky z pletiva, bandáže apod.","2124"
"21249","z ostatních malt a pojiv","2124"
"2125","z kameniva apod.","212"
"21250","bez členění","2125"
"21251","z kamene lomového","2125"
"21252","z kameniva hrubého drceného - makadam","2125"
"21253","z kameniva hrubého drceného - štěrk","2125"
"21254","ze štěrkodrtě","2125"
"21255","ze strusky a struskového kameniva","2125"
"21256","z kameniva drobného drceného (drtě)","2125"
"21259","ostatní","2125"
"2126","z pojiv a těsnícího materiálu","212"
"21260","bez ohledu na druh materiálu","2126"
"21268","z jílů a hlín","2126"
"2127","z trub nekovových","212"
"21270","bez ohledu na druh trub nekovových","2127"
"21271","z trub betonových","2127"
"21272","z trub železobetonových","2127"
"21273","z trub železobetonových předpjatých","2127"
"21274","z trub kameninových","2127"
"21275","z drenážních trubek","2127"
"21276","z trub azbestocementových","2127"
"21277","z trub čedičových","2127"
"21279","z trub z plastických hmot a dřeva","2127"
"2128","z trub kovových","212"
"21280","bez ohledu na druh trub kovových","2128"
"21281","z trub ocelových","2128"
"21282","z trub litinových","2128"
"2129","ostatní","212"
"21290","bez materiálu","2129"
"21297","z textilií","2129"
"21298","z dřevin a travin","2129"
"21299","z plastických hmot","2129"
"213","sanační a podkladní vrstvy","21"
"2131","geosyntetika","213"
"21311","geomříže","2131"
"21312","geomatrace","2131"
"21313","geobuňky","2131"
"21314","geotextilie","2131"
"2132","spojovací a ochranné","213"
"21321","spojovací","2132"
"21322","ochranné","2132"
"2133","podkladní","213"
"21331","polštáře pod základy","2133"
"214","odvodňovací vrstvy","21"
"2141","z prefabrikovaných dílců","214"
"21410","z dílců bez ohledu na materiál","2141"
"21411","z dílců betonových","2141"
"21412","z dílců železobetonových","2141"
"21413","z dílců železobetonových předpjatých","2141"
"21414","z dílců z lehkých betonů","2141"
"21419","z dílců kamenných","2141"
"2142","zděné a ukládané","214"
"21420","bez ohledu na materiál","2142"
"21421","z kamene a lomařských výrobků","2142"
"21423","z cihel a tvárnic pálených","2142"
"21426","z bloků (kvádrů)","2142"
"21427","z cihel a tvárnic nepálených","2142"
"21428","smíšené","2142"
"21429","z výrobků žáruvzdorných","2142"
"2143","betonové monolitické","214"
"21430","bez ohledu na materiál","2143"
"21431","z betonu prostého a prokládaného","2143"
"21432","ze železobetonu","2143"
"21433","z betonu předpjatého","2143"
"21434","z betonu lehkého a zvláštního","2143"
"21435","bednění","2143"
"21436","výztuž z betonářské oceli","2143"
"21438","31 až 34 včetně bednění a výztuže","2143"
"21439","ostatní","2143"
"2149","ostatní","214"
"21492","z betonových a železobetonových výrobků","2149"
"215","zhutnění podloží","21"
"2155","z kameniva apod.","215"
"21550","bez členění","2155"
"21552","z kameniva hrubého drceného - makadam","2155"
"21553","z kameniva hrubého drceného - štěrk","2155"
"21554","ze štěrkodrtě","2155"
"21555","ze strusky a struskového kameniva","2155"
"21556","z kameniva drobného drceného (drtě)","2155"
"21557","z kameniva těženého (písek) a štěrkopísku","2155"
"21558","ze škváry, suti a haldoviny","2155"
"21559","ostatní","2155"
"2159","ostatní","215"
"21590","bez materiálu","2159"
"21597","z lepenky, plsti a tkanin","2159"
"216","urovnání a očištění povrchu podloží","21"
"2165","z kameniva apod.","216"
"21650","bez členění","2165"
"21652","z kameniva hrubého drceného - makadam","2165"
"21653","z kameniva hrubého drceného - štěrk","2165"
"21654","ze štěrkodrtě","2165"
"21655","ze strusky a struskového kameniva","2165"
"21656","z kameniva drobného drceného (drtě)","2165"
"21657","z kameniva těženého (písek) a štěrkopísku","2165"
"21658","ze škváry, suti a haldoviny","2165"
"21659","ostatní","2165"
"2169","ostatní","216"
"21690","bez materiálu","2169"
"219","ostatní","21"
"2199","ostatní","219"
"21990","bez materiálu","2199"
"21999","z plastických hmot","2199"
"22","vrty","2"
"221","vrty přenosnými vrtacími kladivy","22"
"2211","průměr do 13 mm","221"
"22111","ve volném prostoru","2211"
"22112","v omezeném prostoru","2211"
"2212","průměr přes 13 do 56 mm","221"
"22121","ve volném prostoru","2212"
"22122","v omezeném prostoru","2212"
"222","rychlostní diamantové vrtání","22"
"2221","průměr do 56 mm","222"
"22211","ve volném prostoru","2221"
"22212","v omezeném prostoru","2221"
"223","rychlostní diamantové vrtání jádrové","22"
"2231","průměr do 56 mm","223"
"22311","ve volném prostoru","2231"
"22312","v omezeném prostoru","2231"
"224","maloprofilové vrty průběžným sacím vrtáním","22"
"2241","průměr do 56 mm","224"
"22411","ve volném prostoru","2241"
"22412","v omezeném prostoru","2241"
"2242","průměr přes 56 do 93 mm","224"
"22421","ve volném prostoru","2242"
"22422","v omezeném prostoru","2242"
"2243","průměr přes 93 do 156 mm","224"
"22431","ve volném prostoru","2243"
"22432","v omezeném prostoru","2243"
"2244","průměr přes 156 do 195 mm","224"
"22441","ve volném prostoru","2244"
"22442","v omezeném prostoru","2244"
"2245","průměr přes 195 do 245 mm","224"
"22451","ve volném prostoru","2245"
"22452","v omezeném prostoru","2245"
"225","maloprofilové vrty jádrové","22"
"2251","průměr do 56 mm","225"
"22511","ve volném prostoru","2251"
"22512","v omezeném prostoru","2251"
"2252","průměr přes 56 do 93 mm","225"
"22521","ve volném prostoru","2252"
"22522","v omezeném prostoru","2252"
"2253","průměr přes 93 do 156 mm","225"
"22531","ve volném prostoru","2253"
"22532","v omezeném prostoru","2253"
"2254","průměr přes 156 do 195 mm","225"
"22541","ve volném prostoru","2254"
"22542","v omezeném prostoru","2254"
"2255","průměr přes 195 do 245 mm","225"
"22551","ve volném prostoru","2255"
"22552","v omezeném prostoru","2255"
"226","velkoprofilové vrty náběrovým vrtáním","22"
"2261","nezapažené","226"
"22611","svislé","2261"
"22612","šikmé","2261"
"2262","zapažené","226"
"22621","svislé","2262"
"22622","šikmé","2262"
"227","odpažení vrtů","22"
"2274","maloprofilových","227"
"2275","velkoprofilových","227"
"23","piloty","2"
"231","na místě zhotovované","23"
"2311","bez vytažení pažnic","231"
"23111","svislé","2311"
"23112","šikmé","2311"
"2312","s vytažením pažnic","231"
"23121","svislé","2312"
"23122","šikmé","2312"
"2313","s odčerpáním pažící suspenze","231"
"23131","svislé","2313"
"232","prefabrikované ražené","23"
"2321","železobetonové","232"
"23212","nastražení a zaberanění","2321"
