"Code","Description","Parent"
"31","zdi pozemních staveb","3"
"311","zdi nosné","31"
"3111","z prefabrikovaných dílců","311"
"31110","z dílců bez ohledu na materiál","3111"
"31111","z dílců betonových","3111"
"31112","z dílců železobetonových","3111"
"31113","z dílců železobetonových předpjatých","3111"
"31114","z dílců z lehkých betonů","3111"
"31116","z dílců keramických","3111"
"3112","zděné a ukládané","311"
"31120","bez ohledu na materiál","3112"
"31121","z kamene a lomařských výrobků","3112"
"31122","z kamenických výrobků","3112"
"31123","z cihel a tvárnic pálených","3112"
"31125","ze stavebních desek včetně izolačních","3112"
"31126","z bloků (kvádrů)","3112"
"31127","z cihel a tvárnic nepálených","3112"
"31129","z výrobků žáruvzdorných","3112"
"3113","betonové monolitické","311"
"31130","bez ohledu na materiál","3113"
"31131","z betonu prostého a prokládaného","3113"
"31132","ze železobetonu","3113"
"31133","z betonu předpjatého","3113"
"31134","z betonu lehkého a zvláštního","3113"
"31135","bednění","3113"
"31136","výztuž z betonářské oceli","3113"
"31137","výztuž předpínací","3113"
"31139","ostatní","3113"
"3114","kompletní systémy","311"
"31147","z cihel a tvárnic nepálených","3114"
"312","zdi výplňové","31"
"3121","z prefabrikovaných dílců","312"
"31210","z dílců bez ohledu na materiál","3121"
"31211","z dílců betonových","3121"
"31212","z dílců železobetonových","3121"
"31214","z dílců z lehkých betonů","3121"
"31215","z dílců z plastických hmot","3121"
"31217","z dílců keramických","3121"
"31218","z dílců dřevěných","3121"
"3122","zděné a ukládané","312"
"31220","bez ohledu na materiál","3122"
"31223","z cihel a tvárnic pálených","3122"
"31224","z příčkovek","3122"
"31225","ze stavebních desek včetně izolačních","3122"
"31226","z bloků (kvádrů)","3122"
"31227","z cihel a tvárnic nepálených","3122"
"31228","smíšené","3122"
"31229","z výrobků žáruvzdorných","3122"
"3123","betonové monolitické","312"
"31230","bez ohledu na materiál","3123"
"31231","z betonu prostého a prokládaného","3123"
"31232","ze železobetonu","3123"
"31233","ostatní","3123"
"31234","z betonu lehkého a zvláštního","3123"
"31235","bednění","3123"
"31236","výztuž z betonářské oceli","3123"
"3129","ostatní","312"
"31293","z keramických výrobků","3129"
"31295","ze dřeva","3129"
"313","zdi obkladové ","31"
"3131","z prefabrikovaných dílců","313"
"31310","z dílců bez ohledu na materiál","3131"
"31311","z dílců betonových","3131"
"31314","z dílců z lehkých betonů","3131"
"31315","z dílců z plastických hmot","3131"
"31316","z dílců keramických","3131"
"31317","z dílců kovových","3131"
"31318","z dílců dřevěných","3131"
"31319","z dílců kamenných","3131"
"3132","zděné a ukládané","313"
"31320","bez ohledu na materiál","3132"
"31321","z kamene a lomařských výrobků","3132"
"31322","z kamenických výrobků","3132"
"31323","z cihel a tvárnic pálených","3132"
"31324","z příčkovek","3132"
"31325","ze stavebních desek včetně izolačních","3132"
"31326","z bloků (kvádrů)","3132"
"31327","z cihel a tvárnic nepálených","3132"
"31328","smíšené","3132"
"31329","z výrobků žáruvzdorných","3132"
"3133","betonové monolitické","313"
"31330","bez ohledu na materiál","3133"
"31331","z betonu prostého a prokládaného","3133"
"31332","ze železobetonu","3133"
"31334","z betonu lehkého a zvláštního","3133"
"31335","bednění","3133"
"31336","výztuž z betonářské oceli","3133"
