"Code","Description","Parent"
"41","stropy a stropní konstrukce pozemních staveb","4"
"411","konstrukce plošné","41"
"4111","z prefabrikovaných dílců","411"
"41110","z dílců bez ohledu na materiál","4111"
"41111","z dílců betonových","4111"
"41112","z dílců železobetonových","4111"
"41113","z dílců železobetonových předpjatých","4111"
"41114","z dílců z lehkých betonů","4111"
"41116","z dílců keramických","4111"
"41117","z dílců kovových","4111"
"41118","z dílců dřevěných","4111"
"41119","z dílců kamenných","4111"
"4112","zděné a ukládané","411"
"41120","bez ohledu na materiál","4112"
"41123","z cihel a tvárnic pálených","4112"
"41125","ze stavebních desek včetně izolačních","4112"
"41126","z bloků (kvádrů)","4112"
"41127","z cihel a tvárnic nepálených","4112"
"41129","z výrobků žáruvzdorných","4112"
"4113","betonové monolitické","411"
"41130","bez ohledu na materiál","4113"
"41131","z betonu prostého a prokládaného","4113"
"41132","ze železobetonu","4113"
"41133","z betonu předpjatého","4113"
"41135","bednění","4113"
"41136","výztuž z betonářské oceli","4113"
"41137","výztuž předpínací","4113"
"41138","31 až 34 včetně bednění a výztuže","4113"
"41139","ostatní","4113"
"413","nosníky","41"
"4131","z prefabrikovaných dílců","413"
"41310","z dílců bez ohledu na materiál","4131"
"41311","z dílců betonových","4131"
"41312","z dílců železobetonových","4131"
"41313","z dílců železobetonových předpjatých","4131"
"41316","z dílců keramických","4131"
"41317","z dílců kovových","4131"
"41318","z dílců dřevěných","4131"
"41319","z dílců kamenných","4131"
"4133","betonové monolitické","413"
"41330","bez ohledu na materiál","4133"
"41332","ze železobetonu","4133"
"41333","z betonu předpjatého","4133"
"41335","bednění","4133"
"41336","výztuž z betonářské oceli","4133"
"41337","výztuž předpínací","4133"
"41338","31 až 34 včetně bednění a výztuže","4133"
"41339","ostatní","4133"
"4139","ostatní","413"
"41390","bez materiálu","4139"
"41392","z betonových a železobetonových výrobků","4139"
"41393","z keramických výrobků","4139"
"41394","z kovu","4139"
"41395","ze dřeva","4139"
"416","podhledy","41"
"4161","z prefabrikovaných dílců","416"
"41610","z dílců bez ohledu na materiál","4161"
"41611","z dílců betonových","4161"
"41614","z dílců z lehkých betonů","4161"
"41615","z dílců z plastických hmot","4161"
"41616","z dílců keramických","4161"
"41617","z dílců kovových","4161"
"41618","z dílců dřevěných","4161"
"41619","z dílců kamenných","4161"
"4164","z malt a pojiv","416"
"41640","bez ohledu na druh malt a pojiv","4164"
