"Code","Description","Parent"
"51","kolejová lože","5"
"511","zřízení","51"
"5111","z prefabrikovaných dílců","511"
"51110","z dílců bez ohledu na materiál","5111"
"51111","z dílců betonových","5111"
"51112","z dílců železobetonových","5111"
"51113","z dílců železobetonových předpjatých","5111"
"5113","betonové monolitické","511"
"51131","z betonu prostého a prokládaného","5113"
"51132","ze železobetonu","5113"
"51135","bednění","5113"
"51136","výztuž z betonářské oceli","5113"
"5115","z kameniva apod.","511"
"51150","bez členění","5115"
"51152","z kameniva hrubého drceného - makadam","5115"
"51153","z kameniva hrubého drceného - štěrk","5115"
"51156","z kameniva drobného drceného (drtě)","5115"
"51158","ze škváry, suti a haldoviny","5115"
"51159","ostatní","5115"
"5116","z pojiv a těsnícího materiálu","511"
"51163","z dehtů","5116"
"512","odstranění","51"
"5121","z prefabrikovaných dílců","512"
"51210","z dílců bez ohledu na materiál","5121"
"51211","z dílců betonových","5121"
"51212","z dílců železobetonových","5121"
"51213","z dílců železobetonových předpjatých","5121"
"5125","z kameniva apod.","512"
"51252","z kameniva hrubého drceného - makadam","5125"
"51253","z kameniva hrubého drceného - štěrk","5125"
"51254","ze štěrkodrtě","5125"
"51255","ze strusky a struskového kameniva","5125"
"51256","z kameniva drobného drceného (drtě)","5125"
"51258","ze škváry, suti a haldoviny","5125"
"513","pročištění","51"
"5135","z kameniva apod.","513"
"51350","bez členění","5135"
"51351","z kamene lomového","5135"
"51352","z kameniva hrubého drceného - makadam","5135"
"51353","z kameniva hrubého drceného - štěrk","5135"
"51354","ze štěrkodrtě","5135"
"51355","ze strusky a struskového kameniva","5135"
"51356","z kameniva drobného drceného (drtě)","5135"
"51359","ostatní","5135"
"5137","z trub nekovových","513"
"51375","z drenážních trubek","5137"
"5139","ostatní","513"
"51392","z betonových a železobetonových výrobků","5139"
"51399","z plastických hmot","5139"
"514","doplnění","51"
"5142","zděné a ukládáné","514"
"51425","ze stavebních desek včetně izolačních","5142"
"5144","z malt a pojiv","514"
"51442","z malty vápenné a vápenocementové","5144"
"51447","z malt zvláštních a plastických maltovin","5144"
"5145","z kameniva apod.","514"
"51453","z kameniva hrubého drceného - štěrk","5145"
"51454","ze štěrkodrtě","5145"
"51455","ze strusky a struskového kameniva","5145"
"51456","z kameniva drobného drceného (drtě)","5145"
"51458","ze škváry, suti a haldoviny","5145"
"51459","ostatní","5145"
"515","úpravy","51"
"5155","z kameniva apod.","515"
"51550","bez členění","5155"
"516","montážní kanály a komory","51"
"5162","zděné a ukládané","516"
"51625","ze stavebních desek včetně izolačních","5162"
"519","ostatní","51"
"5191","z prefabrikovaných dílců","519"
"51914","z dílců z lehkých betonů","5191"
"5192","zděné a ukládané","519"
"51920","bez ohledu na materiál","5192"
"51921","z kamene a lomařských výrobků","5192"
"51922","z kamenických výrobků","5192"
"51923","z cihel a tvárnic pálených","5192"
"51924","z příčkovek","5192"
"51925","ze stavebních desek včetně izolačních","5192"
"51926","z bloků (kvádrů)","5192"
"51927","z cihel a tvárnic nepálených","5192"
"51928","smíšené","5192"
"51929","z výrobků žáruvzdorných","5192"
"5193","betonové monolitické","519"
"51930","bez ohledu na materiál","5193"
"51931","z betonu prostého a prokládaného","5193"
"51932","ze železobetonu","5193"
"51933","z betonu předpjatého","5193"
"51934","z betonu lehkého a zvláštního","5193"
"51935","bednění","5193"
"51936","výztuž z betonářské oceli","5193"
"51937","výztuž předpínací","5193"
"51938","31 až 34 včetně bednění a výztuže","5193"
"51939","ostatní","5193"
"5194","z malt a pojiv","519"
"51940","bez ohledu na druh malt a pojiv","5194"
"51941","z cementu, vápna, barviv (mimo malt)","5194"
"51942","z malty vápenné a vápenocementové","5194"
"51943","z umělého kamene","5194"
"51944","z malty sádrové a vápenosádrové","5194"
"51945","z malty cementové","5194"
"51946","z malty pro zušlechtěné omítky","5194"
"51947","z malt zvláštních a plastických maltovin","5194"
"51948","vložky z pletiva, bandáže apod.","5194"
"51949","z ostatních malt a pojiv","5194"
"5195","z kameniva apod.","519"
"51950","bez členění","5195"
"51951","z kamene lomového","5195"
"51952","z kameniva hrubého drceného - makadam","5195"
"51953","z kameniva hrubého drceného - štěrk","5195"
"51954","ze štěrkodrtě","5195"
"51955","ze strusky a struskového kameniva","5195"
"51956","z kameniva drobného drceného (drtě)","5195"
"51957","z kameniva těženého (písek) a štěrkopísku","5195"
"51958","ze škváry, suti a haldoviny","5195"
"51959","ostatní","5195"
"5196","z pojiv a těsnícího materiálu","519"
"51960","bez ohledu na druh materiálu","5196"
"51961","z cementu","5196"
"51962","z asfaltů","5196"
"51963","z dehtů","5196"
"51964","z živičných emulzí","5196"
"51965","z náhradních pojiv","5196"
"51966","z chemických pojiv","5196"
"51967","z asfaltů izolačních","5196"
"51968","z jílů a hlín","5196"
"51969","z popílků","5196"
"52","kolej","5"
"521","zřízení koleje železniční normálně rozchodné","52"
"5211","tvar R 65","521"
"52111","pražce dřevěné měkké","5211"
"52112","pražce dřevěné tvrdé","5211"
"52113","pražce ocelové","5211"
"52114","pražce železobeton.","5211"
"52115","pražce z betonu předpjatého","5211"
"52116","jiné konstrukce místo pražců","5211"
"52117","mostnice","5211"
"52118","podélné prahy","5211"
"52119","ostatní","5211"
"5212","tvar T","521"
"52121","pražce dřevěné měkké","5212"
"52122","pražce dřevěné tvrdé","5212"
"52123","pražce ocelové","5212"
"52124","pražce železobeton.","5212"
"52125","pražce z betonu předpjatého","5212"
"52126","jiné konstrukce místo pražců","5212"
"52127","mostnice","5212"
"52128","podélné prahy","5212"
"52129","ostatní","5212"
"5213","tvar S 49","521"
"52131","pražce dřevěné měkké","5213"
"52132","pražce dřevěné tvrdé","5213"
"52133","pražce ocelové","5213"
"52134","pražce železobeton.","5213"
"52135","pražce z betonu předpjatého","5213"
"52136","jiné konstrukce místo pražců","5213"
"52137","mostnice","5213"
"52138","podélné prahy","5213"
"52139","ostatní","5213"
"5214","tvar jiný od 45 kg/m","521"
"52141","pražce dřevěné měkké","5214"
"52142","pražce dřevěné tvrdé","5214"
"52143","pražce ocelové","5214"
"52144","pražce železobeton.","5214"
"52145","pražce z betonu předpjatého","5214"
"52146","jiné konstrukce místo pražců","5214"
"52147","mostnice","5214"
"52148","podélné prahy","5214"
"52149","ostatní","5214"
"5215","tvar jiný od 20 do 45 kg/m","521"
"52151","pražce dřevěné měkké","5215"
"52152","pražce dřevěné tvrdé","5215"
"52153","pražce ocelové","5215"
"52154","pražce železobeton.","5215"
"52155","pražce z betonu předpjatého","5215"
"52156","jiné konstrukce místo pražců","5215"
"52157","mostnice","5215"
"52158","podélné prahy","5215"
"52159","ostatní","5215"
"5216","tvar jiný do 20 kg/m","521"
"52161","pražce dřevěné měkké","5216"
"52162","pražce dřevěné tvrdé","5216"
"52163","pražce ocelové","5216"
"52164","pražce železobeton.","5216"
"52165","pražce z betonu předpjatého","5216"
"52166","jiné konstrukce místo pražců","5216"
"52167","mostnice","5216"
"52168","podélné prahy","5216"
"52169","ostatní","5216"
"5217","žlábkové","521"
"52171","pražce dřevěné měkké","5217"
"52172","pražce dřevěné tvrdé","5217"
"52173","pražce ocelové","5217"
"52174","pražce železobeton.","5217"
"52175","pražce z betonu předpjatého","5217"
"52176","jiné konstrukce místo pražců","5217"
"52177","mostnice","5217"
"52178","podélné prahy","5217"
"52179","ostatní","5217"
"5218","bez materiálu","521"
"52181","pražce dřevěné měkké","5218"
"52182","pražce dřevěné tvrdé","5218"
"52183","pražce ocelové","5218"
"52184","pražce železobeton.","5218"
"52185","pražce z betonu předpjatého","5218"
"52186","jiné konstrukce místo pražců","5218"
