"Code","Description","Parent"
"61","úprava povrchů vnitřních","6"
"611","stropů","61"
"6111","podkladní vrstvy","611"
"61111","úpravy neomítaných ploch","6111"
"61112","zatření spar pod omítku","6111"
"61113","vyrovnávací a podkladní vrstvy","6111"
"61114","nosiče omítky, omítkové profily, výztuž omítky","6111"
"61115","podkladní nátěr","6111"
"61118","stěrkové hmoty","6111"
"61119","ostatní","6111"
"6113","minerální omítky","611"
"61131","vápenné","6113"
"61132","vápenocementové","6113"
"61133","cementové","6113"
"61134","sádrové a vápenosádrové","6113"
"61138","tenkovrstvé","6113"
"61139","ostatní","6113"
"6115","omítky na bázi syntetických pryskyřic (tenkovrstvé)","611"
"61151","akrylátové","6115"
"61152","silikátové","6115"
"61153","silikonové","6115"
"61154","silikonsilikátové","6115"
"61159","ostatní","6115"
"6116","konečné úpravy","611"
"61161","nátěry","6116"
"61163","neomítaných ploch","6116"
"61164","kamenické opracování","6116"
"61169","ostatní","6116"
"6118","omítky speciální","611"
"61181","tepelně a zvukově izolační","6118"
"61182","sanační","6118"
"61183","stínící","6118"
"6119","ostatní","611"
"61191","ochrana konstrukcí","6119"
"61199","ostatní","6119"
"612","stěn","61"
"6121","podkladní vrstvy","612"
"61211","úpravy neomítaných ploch","6121"
"61212","zatření spar pod omítku","6121"
"61213","vyrovnávací a podkladní vrstvy","6121"
"61214","nosiče omítky, omítkové profily, výztuž omítky","6121"
"61215","podkladní nátěr","6121"
"61218","stěrkové hmoty","6121"
"61219","ostatní","6121"
"6123","minerální omítky","612"
"61231","vápenné","6123"
"61232","vápenocementové","6123"
"61233","cementové","6123"
"61234","sádrové a vápenosádrové","6123"
"61238","tenkovrstvé","6123"
"61239","ostatní","6123"
"6125","omítky na bázi syntetických pryskyřic (tenkovrstvé)","612"
"61251","akrylátové","6125"
"61252","silikátové","6125"
"61253","silikonové","6125"
"61254","silikonsilikátové","6125"
"61259","ostatní","6125"
"6126","konečné úpravy","612"
"61261","nátěry","6126"
"61263","neomítaných ploch","6126"
"61264","kamenické opracování","6126"
"61269","ostatní","6126"
"6128","omítky speciální","612"
"61281","tepelně a zvukově izolační","6128"
"61282","sanační","6128"
"61283","stínící","6128"
"6129","ostatní","612"
"61291","ochrana konstrukcí","6129"
"61299","ostatní","6129"
"613","pilířů nebo sloupů","61"
"6131","podkladní vrstvy","613"
"61311","úpravy neomítaných ploch","6131"
"61312","zatření spar pod omítku","6131"
"61313","vyrovnávací a podkladní vrstvy","6131"
"61314","nosiče omítky, omítkové profily, výztuž omítky","6131"
"61315","podkladní nátěr","6131"
"61318","stěrkové hmoty","6131"
"61319","ostatní","6131"
"6133","minerální omítky","613"
"61331","vápenné","6133"
"61332","vápenocementové","6133"
"61333","cementové","6133"
"61334","sádrové a vápenosádrové","6133"
"61338","tenkovrstvé","6133"
"61339","ostatní","6133"
"6135","omítky na bázi syntetických pryskyřic (tenkovrstvé)","613"
"61351","akrylátové","6135"
"61352","silikátové","6135"
"61353","silikonové","6135"
"61354","silikonsilikátové","6135"
"61359","ostatní","6135"
"6136","konečné úpravy","613"
"61361","nátěry","6136"
"61363","neomítaných ploch","6136"
"61364","kamenické opracování","6136"
"61369","ostatní","6136"
"6138","omítky speciální","613"
"61381","tepelně a zvukově izolační","6138"
"61382","sanační","6138"
"6139","ostatní","613"
"61391","ochrana konstrukcí","6139"
"615","ostatních konstrukcí pozemních staveb","61"
"6151","podkladní vrstvy","615"
"61514","nosiče omítky, omítkové profily, výztuž omítky","6151"
"616","potrubí, kanálů, stok a štol","61"
"6161","podkladní vrstvy","616"
"61613","vyrovnávací a podkladní vrstvy","6161"
"6163","minerální omítky","616"
"61631","vápenné","6163"
"61632","vápenocementové","6163"
"61633","cementové","6163"
"6166","konečné úpravy","616"
"61663","neomítaných ploch","6166"
"617","šachet, světlíků, studní a sil ","61"
"6171","podkladní vrstvy","617"
"61713","vyrovnávací a podkladní vrstvy","6171"
"6173","minerální omítky","617"
"61731","vápenné","6173"
"61732","vápenocementové","6173"
"61733","cementové","6173"
"6176","konečné úpravy","617"
"61761","nátěry","6176"
"61763","neomítaných ploch","6176"
"618","ostatních konstrukcí inženýrských a vodních staveb","61"
"6186","konečné úpravy","618"
"61861","nátěry","6186"
"61863","neomítaných ploch","6186"
"619","ostatní","61"
"6193","minerální omítky","619"
"61934","sádrové a vápenosádrové","6193"
"6199","ostatní","619"
"61999","ostatní","6199"
"62","úprava povrchů vnějších","6"
"621","podhledů","62"
"6211","podkladní vrstvy","621"
"62111","úpravy neomítaných ploch","6211"
"62112","zatření spar pod omítku","6211"
"62113","vyrovnávací a podkladní vrstvy","6211"
"62114","nosiče omítky, omítkové profily, výztuž omítky","6211"
"62115","podkladní nátěr","6211"
"6212","zateplení","621"
"62121","kontaktní z polystyrenu","6212"
"62122","kontaktní z minerální vlny","6212"
"62125","kontaktní ostatní","6212"
"62127","provětrávané z fasádních desek","6212"
"6213","minerální omítky","621"
"62131","vápenné","6213"
"62132","vápenocementové","6213"
"62133","cementové","6213"
"62138","tenkovrstvé","6213"
"62139","ostatní","6213"
"6215","omítky na bázi syntetických pryskyřic (tenkovrstvé)","621"
"62151","akrylátové","6215"
"62152","silikátové","6215"
"62153","silikonové","6215"
"62154","silikonsilikátové","6215"
"62159","ostatní","6215"
"6216","konečné úpravy","621"
"62161","nátěry","6216"
"62162","fasádní profily","6216"
"62163","neomítaných ploch","6216"
"62164","kamenické opracování","6216"
"62169","ostatní","6216"
"6218","omítky speciální","621"
"62181","tepelně a zvukově izolační","6218"
"62182","sanační","6218"
"62183","stínící","6218"
"622","stěn","62"
"6221","podkladní vrstvy","622"
"62211","úpravy neomítaných ploch","6221"
"62212","zatření spar pod omítku","6221"
"62213","vyrovnávací a podkladní vrstvy","6221"
"62214","nosiče omítky, omítkové profily, výztuž omítky","6221"
"62215","podkladní nátěr","6221"
"6222","zateplení","622"
"62221","kontaktní z polystyrenu","6222"
"62222","kontaktní z minerální vlny","6222"
"62225","kontaktní ostatní","6222"
"62226","provětrávané z betonových obkladových cihel","6222"
"62227","provětrávané z fasádních desek","6222"
"6223","minerální omítky","622"
"62231","vápenné","6223"
"62232","vápenocementové","6223"
"62233","cementové","6223"
"62238","tenkovrstvé","6223"
"62239","ostatní","6223"
"6225","omítky na bázi syntetických pryskyřic (tenkovrstvé)","622"
"62251","akrylátové","6225"
"62252","silikátové","6225"
"62253","silikonové","6225"
"62254","silikonsilikátové","6225"
"62259","ostatní","6225"
"6226","konečné úpravy","622"
"62261","nátěry","6226"
"62262","fasádní profily","6226"
"62263","neomítaných ploch","6226"
"62264","kamenické opracování","6226"
"62269","ostatní","6226"
"6228","omítky speciální","622"
"62281","tepelně a zvukově izolační","6228"
"62282","sanační","6228"
"62283","stínící","6228"
"623","pilířů nebo sloupů","62"
"6231","podkladní vrstvy","623"
"62311","úpravy neomítaných ploch","6231"
"62312","zatření spar pod omítku","6231"
"62313","vyrovnávací a podkladní vrstvy","6231"
"62314","nosiče omítky, omítkové profily, výztuž omítky","6231"
"62315","podkladní nátěr","6231"
"6233","minerální omítky","623"
"62331","vápenné","6233"
"62332","vápenocementové","6233"
"62333","cementové","6233"
"62338","tenkovrstvé","6233"
"62339","ostatní","6233"
"6235","omítky na bázi syntetických pryskyřic (tenkovrstvé)","623"
"62351","akrylátové","6235"
"62352","silikátové","6235"
"62353","silikonové","6235"
"62354","silikonsilikátové","6235"
"62359","ostatní","6235"
"6236","konečné úpravy","623"
"62361","nátěry","6236"
"62362","fasádní profily","6236"
"62363","neomítaných ploch","6236"
"62364","kamenické opracování","6236"
"62369","ostatní","6236"
"6238","omítky speciální","623"
"62382","sanační","6238"
"62383","stínící","6238"
"624","panelových konstrukcí","62"
"6246","konečné úpravy","624"
"62463","neomítaných ploch","6246"
"625","ostatních konstrukcí pozemních staveb","62"
"6251","podkladní vrstvy","625"
"62514","nosiče omítky, omítkové profily, výztuž omítky","6251"
"6256","konečné úpravy","625"
"62568","ochrana konstrukcí","6256"
"626","potrubí, kanálů, stok a štol","62"
"627","šachet, světlíků, studní a sil ","62"
"6273","minerální omítky","627"
"62732","vápenocementové","6273"
"62733","cementové","6273"
"6276","konečné úpravy","627"
"62761","nátěry","6276"
"62763","neomítaných ploch","6276"
"628","ostatních konstrukcí inženýrských a vodních staveb","62"
"6281","podkladní vrstvy","628"
"62811","úpravy neomítaných ploch","6281"
"62819","ostatní","6281"
"6283","minerální omítky","628"
"62833","cementové","6283"
"6286","konečné úpravy","628"
"62861","nátěry","6286"
"62863","neomítaných ploch","6286"
"62864","kamenické opracování","6286"
"629","ostatní","62"
"6291","podkladní vrstvy","629"
"62913","vyrovnávací a podkladní vrstvy","6291"
"6299","ostatní","629"
"62999","ostatní","6299"
"63","podlahy a podlahové konstrukce","6"
"631","mazaniny","63"
"6313","betonové monolitické","631"
