"Code","Description","Parent"
"71","izolace","7"
"711","proti vodě, vlhkosti a plynu","71"
"7111","zemní vlhkost a mokrý provoz","711"
"71111","natěradly a tmely za studena","7111"
"71112","natěradly a tmely za horka","7111"
"71113","pásy na sucho","7111"
"71114","pásy přitavením","7111"
"71115","deskami","7111"
"71116","fóliemi","7111"
"71117","termoplasty","7111"
"71118","pryskyřicemi","7111"
"71119","ostatní","7111"
"7112","provětrávané","711"
"71121","dutinové ze segmentů","7112"
"7113","mostovky","711"
"71131","natěradly a tmely za studena","7113"
"71132","natěradly a tmely za horka","7113"
"71133","pásy na sucho","7113"
"71134","pásy přitavením","7113"
"71135","deskami","7113"
"71136","fóliemi","7113"
"71137","termoplasty","7113"
"71138","pryskyřicemi","7113"
"71139","ostatní","7113"
"7114","povrchová a podpovrchová tlaková voda","711"
"71141","natěradly a tmely za studena","7114"
"71142","natěradly a tmely za horka","7114"
"71143","pásy na sucho","7114"
"71144","pásy přitavením","7114"
"71145","deskami","7114"
"71146","fóliemi","7114"
"71147","termoplasty","7114"
"71148","pryskyřicemi","7114"
"71149","ostatní","7114"
"7115","potrubí, nádrže, stoky a kanalizační šachty","711"
"71151","natěradly a tmely za studena","7115"
"71152","natěradly a tmely za horka","7115"
"71153","pásy na sucho","7115"
"71154","pásy přitavením","7115"
"71155","deskami","7115"
"71156","fóliemi","7115"
"71157","termoplasty","7115"
"71158","pryskyřicemi","7115"
"71159","ostatní","7115"
"7116","podchody a objekty v podzemí, tunely, štoly a metra","711"
"71161","natěradly a tmely za studena","7116"
"71162","natěradly a tmely za horka","7116"
"71163","pásy na sucho","7116"
"71164","pásy přitavením","7116"
"71165","deskami","7116"
"71166","fóliemi","7116"
"71167","termoplasty","7116"
"71168","pryskyřicemi","7116"
"71169","ostatní","7116"
"7117","detaily","711"
"71171","natěradly a tmely za studena","7117"
"71172","natěradly a tmely za horka","7117"
"71173","pásy na sucho","7117"
"71174","pásy přitavením","7117"
"71175","deskami","7117"
"71176","fóliemi","7117"
"71177","termoplasty","7117"
"71178","pryskyřicemi","7117"
"71179","ostatní","7117"
"7118","protiplynové","711"
"71181","natěradly a tmely za studena","7118"
"71182","natěradly a tmely za horka","7118"
"71183","pásy na sucho","7118"
"71184","pásy přitavením","7118"
"71185","deskami","7118"
"71186","fóliemi","7118"
"71187","termoplasty","7118"
"71188","pryskyřicemi","7118"
"71189","ostatní","7118"
"7119","ostatní","711"
"71191","natěradly a tmely za studena","7119"
"71192","natěradly a tmely za horka","7119"
"71193","pásy na sucho","7119"
"71194","pásy přitavením","7119"
"71195","deskami","7119"
"71196","fóliemi","7119"
"71197","termoplasty","7119"
"71198","pryskyřicemi","7119"
"71199","ostatní","7119"
"712","povlakové krytiny","71"
"7121","provizorní zakrytí střech","712"
"71211","natěradly a tmely za studena","7121"
"71212","natěradly a tmely za horka","7121"
"71213","pásy na sucho","7121"
"71214","pásy přitavením","7121"
"71215","asfaltovým šindelem","7121"
"71216","fóliemi","7121"
"71219","ostatní","7121"
"7122","parotěsná zábrana střech","712"
"71221","natěradly a tmely za studena","7122"
"71222","natěradly a tmely za horka","7122"
"71223","pásy na sucho","7122"
"71224","pásy přitavením","7122"
"71225","asfaltovým šindelem","7122"
"71226","fóliemi","7122"
"71229","ostatní","7122"
"7123","střechy ploché do 10°","712"
"71231","natěradly a tmely za studena","7123"
"71232","natěradly a tmely za horka","7123"
"71233","pásy na sucho","7123"
"71234","pásy přitavením","7123"
"71235","asfaltovým šindelem","7123"
"71236","fóliemi","7123"
"71239","ostatní","7123"
"7124","střechy šikmé přes 10° do 30°","712"
"71241","natěradly a tmely za studena","7124"
"71242","natěradly a tmely za horka","7124"
"71243","pásy na sucho","7124"
"71244","pásy přitavením","7124"
"71245","asfaltovým šindelem","7124"
"71246","fóliemi","7124"
"71249","ostatní","7124"
"7125","střechy oblé","712"
"71251","natěradly a tmely za studena","7125"
"71252","natěradly a tmely za horka","7125"
"71253","pásy na sucho","7125"
"71254","pásy přitavením","7125"
"71255","asfaltovým šindelem","7125"
"71256","fóliemi","7125"
"71259","ostatní","7125"
"7126","střechy šikmé přes 30°","712"
"71261","natěradly a tmely za studena","7126"
"71262","natěradly a tmely za horka","7126"
"71263","pásy na sucho","7126"
"71264","pásy přitavením","7126"
"71265","asfaltovým šindelem","7126"
"71266","fóliemi","7126"
"71269","ostatní","7126"
"7127","samostatné zesílení","712"
"71271","natěradly a tmely za studena","7127"
"71272","natěradly a tmely za horka","7127"
"71273","pásy na sucho","7127"
"71274","pásy přitavením","7127"
"71275","asfaltovým šindelem","7127"
"71276","fóliemi","7127"
"71279","ostatní","7127"
"7128","samostatné vytažení izolačního povlaku na konstrukce převyšující úroveň střechy","712"
"71281","natěradly a tmely za studena","7128"
"71282","natěradly a tmely za horka","7128"
"71283","pásy na sucho","7128"
"71284","pásy přitavením","7128"
"71285","asfaltovým šindelem","7128"
"71286","fóliemi","7128"
"71289","ostatní","7128"
"7129","ostatní","712"
"71291","natěradly a tmely za studena","7129"
"71292","natěradly a tmely za horka","7129"
"71293","pásy na sucho","7129"
"71294","pásy přitavením","7129"
"71295","asfaltovým šindelem","7129"
"71296","fóliemi","7129"
"71299","ostatní","7129"
"713","tepelné","71"
"7131","běžných stavebních konstrukcí","713"
"71311","stropů","7131"
"71312","podlah","7131"
"71313","stěn a svislých základových konstrukcí","7131"
"71314","střech plochých","7131"
"71315","střech šikmých","7131"
"71319","doplňky a konstrukční součásti","7131"
"7132","chlazených a temperovaných místností","713"
"71321","deskami","7132"
"71329","doplňky a konstrukční součásti","7132"
"7133","těles","713"
"71331","pásy, rohožemi","7133"
"71332","izolace v pletivu","7133"
"71333","pěnobetonem a perlitobetonem","7133"
"71334","do konstrukce z oceli nebo distančních kruhů","7133"
"71335","do konstrukce z plechových lišt","7133"
"71336","tvarovkami, deskami","7133"
"71337","snímatelné","7133"
"71338","speciální","7133"
"71339","doplňky a konstrukční součásti","7133"
"7134","potrubí","713"
"71341","pásy, rohožemi","7134"
"71342","rohožemi v pletivu","7134"
"71343","pěnobetonem a perlitobetonem","7134"
"71344","do konstrukce z oceli kruhové nebo distančních kruhů","7134"
"71345","do konstrukce z plechových lišt","7134"
"71346","tvarovkami, deskami","7134"
"71347","snímatelnými pouzdry","7134"
"71348","speciální","7134"
"71349","doplňky a konstrukční součásti","7134"
"7135","izolačními materiály s protipožární funkcí","713"
"71351","nástřiky","7135"
"71352","protipožárním obkladem","7135"
"71355","obklady","7135"
"71359","doplňky a konstrukční součásti","7135"
"714","akustická a protiotřesová opatření","71"
"7141","akustická opatření","714"
"71411","pohltivé obklady","7141"
"71412","absorpční tělesa","7141"
"71413","tlumiče vzduchotechniky","7141"
"71414","doplňky akust. opatření","7141"
"71415","zvukotěsné kabiny","7141"
"71418","pohltivé a konstrukční součásti","7141"
"71419","ostatní","7141"
"7143","protiotřesová opatření strojních zařízení","714"
"71431","ze dřeva a dřevovláknitých hmot","7143"
"71432","z plastických hmot","7143"
"71435","z lisovaných anorganických hmot","7143"
"71439","ostatní","7143"
"7144","protiotřesová opatření stavebních konstrukcí","714"
"71441","ze dřeva a dřevovláknitých hmot","7144"
"71442","z plastických hmot","7144"
"71445","z lisovaných anorganických hmot","7144"
"71449","ostatní","7144"
"715","proti chemickým vlivům","71"
"7151","stavebních konstrukcí","715"
"71511","natěradly a tmely za horka","7151"
"71512","natěradly a tmely za studena","7151"
"71513","fóliemi","7151"
"71514","lamináty","7151"
"71515","obklady, vyzdívky, přizdívky","7151"
"71516","dlažby","7151"
"71517","speciální","7151"
"71518","ostatní","7151"
"71519","doplňkové izolace","7151"
"7152","technologických zařízení","715"
"71521","natěradly a tmely za horka","7152"
"71522","natěradly a tmely za studena","7152"
"71523","fóliemi","7152"
"71524","lamináty","7152"
"71525","obklady, vyzdívky, přizdívky","7152"
"71526","dlažby","7152"
"71527","speciální","7152"
"71528","ostatní","7152"
"71529","doplňkové izolace","7152"
"72","zdravotně technické instalace","7"
"721","kanalizace","72"
"7211","potrubí","721"
"72111","z kameninových trub","7211"
"72114","z litinových trub","7211"
"72115","z ocelových trub","7211"
"72116","z vápenocementových trub","7211"
"72117","z plastových trub","7211"
"72118","z olověných trub","7211"
"72119","přípojky k zařízením","7211"
"7212","příslušenství","721"
"72121","podlahové vpusti","7212"
"72122","zápachové uzávěrky","7212"
"72123","střešní vtoky","7212"
"72124","lapače střešních splavenin","7212"
"72125","šoupátka","7212"
"72126","zpětné a koncové klapky","7212"
"72127","ventilační hlavice","7212"
"72129","ostatní","7212"
"722","vodovod","72"
"7221","potrubí","722"
"72211","z litinových trub","7221"
"72213","z ocelových trubek pozinkovaných","7221"
"72214","z ocelových trubek","7221"
"72216","z měděných trubek","7221"
"72217","z plastových trubek a skla","7221"
"72218","ochrana potrubí","7221"
"72219","přípojky k zařízením","7221"
"7222","příslušenství","722"
"72221","armatury přírubové","7222"
"72222","armatury závitové s jedním závitem","7222"
"72223","armatury závitové se dvěma závity","7222"
"72224","armatury z plastických hmot","7222"
"72225","požární příslušenství a armatury","7222"
"72226","vodoměry","7222"
"72227","vodoměrové sestavy","7222"
"72229","ostatní","7222"
"723","plynovod","72"
"7231","potrubí","723"
"72311","z ocelových trubek závitových černých","7231"
"72312","z ocelových trubek černých spojovaných svařováním","7231"
"72314","z ocelových trubek ocelových asfaltovaných","7231"
"72315","z ocelových trubek hladkých","7231"
"72316","přípojky kloubové k plynoměrům","7231"
"72317","z plastových trubek","7231"
"72318","z měděných trubek","7231"
"72319","přípojky k zařízením","7231"
"7232","příslušenství","723"
"72321","armatury přírubové","7232"
"72322","armatury závitové s jedním závitem","7232"
"72323","armatury závitové se dvěma závity","7232"
"72326","plynoměry","7232"
"72329","ostatní","7232"
"724","strojní vybavení","72"
"7241","čerpadla","724"
"72411","kalová ruční","7241"
"72412","kalová strojní","7241"
"72413","vodovodní ruční","7241"
"72414","vodovodní strojní","7241"
"72419","ostatní","7241"
"7242","domovní vodárny","724"
"72421","s čerpadly horizontálními","7242"
"72422","s čerpadly ponornými","7242"
"72423","příslušenství","7242"
"72424","zařízení pro úpravu vody","7242"
"72429","ostatní","7242"
"7243","tlakové nádrže","724"
"72431","stojaté","7243"
"72432","ležaté","7243"
"72439","ostatní","7243"
"7244","kompresory","724"
"72441","ruční","7244"
"72442","strojní","7244"
"72449","ostatní","7244"
"7245","příslušenství","724"
"72459","ostatní","7245"
"725","zařizovací předměty","72"
"7251","zařízení záchodů","725"
"72511","klozety","7251"
"72512","pisoárové záchodky","7251"
"72513","pisoárové stání","7251"
"72519","ostatní","7251"
"7252","zařízení koupelen","725"
"72521","umývadla","7252"
"72522","vany","7252"
"72523","bidety","7252"
"72524","sprchové vaničky, boxy, kouty a zástěny","7252"
"72529","ostatní","7252"
"7253","zařízení kuchyní","725"
"72531","dřezy","7253"
"72533","výlevky","7253"
"72534","prameníky","7253"
"72539","ostatní","7253"
"7254","zařízení umýváren","725"
"72541","žlaby","7254"
"72542","kašnová umývadla (fontány)","7254"
"72543","ostatní","7254"
"7255","zařízení pro přípravu teplé vody","725"
"72551","plynové ohřívače","7255"
"72552","koupelnová kamna","7255"
"72553","elektrické zásobníky","7255"
"72559","ostatní","7255"
"7256","zařízení pro vaření, vytápění a chlazení","725"
"72561","plynové sporáky","7256"
"72562","plynové vařiče","7256"
"72563","plynové pečící trouby","7256"
"72564","plynová otopná tělesa článková","7256"
"72565","plynová otopná tělesa skříňová","7256"
"72566","plynové infrazářiče","7256"
