"Code","Description","Parent"
"81","potrubí z trub betonových","8"
"811","drážkové","81"
"8111","Js do 40 mm","811"
"81111",""6 mm 1/8"""","8111"
"81112",""8 mm 1/4"""","8111"
"81113",""10 mm 3/8"""","8111"
"81114",""15 mm 1/2"""","8111"
"81115",""20 mm 3/4"""","8111"
"81116",""25 mm 1"""","8111"
"81117",""32 mm 1 1/4"""","8111"
"81118",""40 mm 1 1/2"""","8111"
"8112","Js 50 až 130 mm","811"
"81121",""50 mm 2"""","8112"
"81122",""60 mm 2 1/4"""","8112"
"81123",""70 mm 2 1/2 """","8112"
"81124",""80 mm 3"""","8112"
"81125","90 mm","8112"
"81126","100 mm","8112"
"81127","125 mm","8112"
"81128","130 mm","8112"
"8113","Js 150 až 400 mm","811"
"81131","150 mm","8113"
"81132","160 mm","8113"
"81133","175 mm","8113"
"81134","180 mm","8113"
"81135","200 mm","8113"
"81136","250 mm","8113"
"81137","300 mm","8113"
"81138","350 mm","8113"
"81139","400 mm","8113"
"8114","Js 450 až 1000 mm","811"
"81141","450 mm","8114"
"81142","500 mm","8114"
"81143","550 mm","8114"
"81144","600 mm","8114"
"81145","650 mm","8114"
"81146","700 mm","8114"
"81147","800 mm","8114"
"81148","900 mm","8114"
"81149","1000 mm","8114"
"8115","Js 1100 až 1900 mm","811"
"81151","1100 mm","8115"
"81152","1200 mm","8115"
"81153","1300 mm","8115"
"81154","1400 mm","8115"
"81155","1500 mm","8115"
"81156","1600 mm","8115"
"81157","1700 mm","8115"
"81158","1800 mm","8115"
"81159","1900 mm","8115"
"8116","Js 2000 mm a více","811"
"81161","2000 mm","8116"
"812","hrdlové","81"
"8121","Js do 40 mm","812"
"81211",""6 mm 1/8"""","8121"
"81212",""8 mm 1/4"""","8121"
"81213",""10 mm 3/8"""","8121"
"81214",""15 mm 1/2"""","8121"
"81215",""20 mm 3/4"""","8121"
"81216",""25 mm 1"""","8121"
"81217",""32 mm 1 1/4"""","8121"
"81218",""40 mm 1 1/2"""","8121"
"8122","Js 50 až 130 mm","812"
"81221",""50 mm 2"""","8122"
"81222",""60 mm 2 1/4"""","8122"
"81223",""70 mm 2 1/2 """","8122"
"81224",""80 mm 3"""","8122"
"81225","90 mm","8122"
"81226","100 mm","8122"
"81227","125 mm","8122"
"81228","130 mm","8122"
"8123","Js 150 až 400 mm","812"
"81231","150 mm","8123"
"81232","160 mm","8123"
"81233","175 mm","8123"
"81234","180 mm","8123"
"81235","200 mm","8123"
"81236","250 mm","8123"
"81237","300 mm","8123"
"81238","350 mm","8123"
