"Code","Description","Parent"
"91","doplňující konstrukce a práce pozemních komunikací, letišť a ploch","9"
"911","záchytné bezpečnostní zařízení","91"
"9111","zábradlí","911"
"91111","zabetonované","9111"
"91112","přichycené vruty","9111"
"9113","svodidla","911"
"91133","ocelová","9113"
"91138","železobetonová","9113"
"9114","tlumič nárazu","911"
"912","vodící bezpečnostní zařízení","91"
"9121","zábrany","912"
"91211","parkovací","9121"
"91212","vodící","9121"
"9122","směrové sloupky","912"
"91221","plastové","9122"
"91222","ocelové","9122"
"9123","odrazky","912"
"91231","na ocelová svodidla","9123"
"91232","na betonová svodidla","9123"
"91233","odrazky proti zvěři","9123"
"91239","ostatní","9123"
"9124","pružné majáky","912"
"91241","plastové","9124"
"9129","ostatní","912"
"91291","beton","9129"
"91292","železobeton","9129"
"91293","plast","9129"
"91294","dřevo","9129"
"913","dočasné dopravní zařízení","91"
"9131","značky","913"
"91311","samostatné","9131"
"91312","sestavy","9131"
"9132","zábrany","913"
"91321","reflexní","9132"
"91322","světelné","9132"
"91323","protisněhové","9132"
"9133","vodící zařízení","913"
"91331","kužel","9133"
"91332","desky","9133"
"91333","světla","9133"
"9134","semafory","913"
"91341","souprava","9134"
"9139","ostatní","913"
"91391","akumulátory","9139"
"91392","zakrytí","9139"
"914","svislé dopravní značky","91"
"9141","standardní do 2 m2","914"
"91411","základní","9141"
"91412","osvětlená","9141"
"91413","prosvětlovaná","9141"
"91414","proměnná","9141"
"91419","ostatní","9141"
"9142","velkoplošné nad 2 m2","914"
"91421","základní","9142"
"91422","osvětlená","9142"
"91423","prosvětlovaná","9142"
"91424","proměnná","9142"
"9143","staniční - kilometrovníky, mezníky apod.","914"
"91431","kamenné","9143"
"91432","plechové","9143"
"91433","železobetonové","9143"
"9144","dopravní zrcadlo","914"
"91441","na sloupky, konzoly","9144"
"9145","zařízení pro připevnění silničních značek","914"
"91451","sloupky","9145"
"91452","objímky","9145"
"91453","konzoly, nástavce","9145"
"91454","patky, stojany","9145"
"9149","ostatní","914"
"91491","výstražné","9149"
"915","vodorovné dopravní značky","91"
"9151","značení barvou","915"
"91511","dělící čáry","9151"
"91512","vodící čáry","9151"
"91513","přechody, šipky, symboly, nápisy","9151"
"91519","ostatní","9151"
"9152","značení plastem","915"
"91521","dělící čáry","9152"
"91522","vodící čáry","9152"
"91523","přechody, šipky, symboly, nápisy","9152"
"91524","bezpečnostní barevný povrch vozovek","9152"
"91529","ostatní","9152"
"9153","značení předformovaným termoplastem","915"
"91531","dopravní značky","9153"
"91532","přechody pro chodce ","9153"
"91533","čáry","9153"
"91534","šipky","9153"
"91535","písmena, číslice","9153"
"9154","z desek","915"
"91541","v dlažbě provedené z velkých kostek","9154"
"91542","v dlažbě provedené z drobných kostek","9154"
"91543","v krytu živičném z velkých kostek","9154"
"91544","v krytu živičném z drobných kostek","9154"
"91545","v dlažbě, z keramických kostek","9154"
"91546","v dlažbě, z keramických kostek v krytu živičném","9154"
"91547","v dlažbě, z bílého mramoru","9154"
"91548","v dlažbě, z bílého mramoru v krytu živičném","9154"
"91549","ostatní","9154"
"9155","dopravní knoflik","915"
"91551","lepené","9155"
"91552","zafrézované  ","9155"
"9156","předznačení vodorovného značení","915"
"91561","liniové","9156"
"91562","plošné","9156"
"9157","odstranění vodorovného značení","915"
"91571","frézováním","9157"
"916","obrubníky a krajníky, zpomalovací prahy","91"
"9161","silniční","916"
"91611","z kostek","9161"
"91612","betonové monolitické","9161"
"91613","betonové prefabrikované","9161"
"91614","kamenné","9161"
"91617","pryžové","9161"
"91618","plastové","9161"
"91619","ostatní","9161"
"9162","chodníkové","916"
"91621","z kostek","9162"
"91622","betonové monolitické","9162"
"91623","betonové prefabrikované","9162"
"91624","kamenné","9162"
"91627","pryžové","9162"
"91628","plastové","9162"
"91629","ostatní","9162"
"9163","zahradní","916"
"91631","z kostek","9163"
"91632","betonové monolitické","9163"
"91633","betonové prefabrikované","9163"
"91634","kamenné","9163"
"91637","pryžové","9163"
"91638","plastové","9163"
"91639","ostatní","9163"
"9164","bezbariérové","916"
"91641","z kostek","9164"
"91642","betonové monolitické","9164"
"91643","betonové prefabrikované","9164"
"91644","kamenné","9164"
"91647","pryžové","9164"
"91648","plastové","9164"
"91649","ostatní","9164"
"9167","zpomalovací prahy","916"
"91671","z kostek","9167"
"91672","betonové monolitické","9167"
"91673","betonové prefabrikované","9167"
