Pojem česky	Definice česky
 Požadavek akce	Požadavek akce je žádost o akci ke splnění potřeby.  HISTORIE: IFC4: Odstraněný TypZdrojePožadavku, PopisPožadavku, Stav
 Popisek zdroje požadavku	Specifický název nebo popisek, který blíže určuje identitu zdroje požadavku. V případě e-mailu se může jednat o e-mailovou adresu.
 Název zdroje požadavku	Osoba vznášející požadavek, je-li známa.
 Komentáře k požadavku	Případné komentáře k požadavku.
	
 Činitel - všeobecně	Množina vlastností, která umožňuje bližší zatřídění činitelů, včetně schopnosti poskytnout několika činitelům, označeným za populaci, číslo specifikované jako vlastnost, s níž se bude nakládat jako s jednotlivou hodnotou a nebude nutné seskupovat několik instancí IfcActor.
 Počet činitelů	Počet činitelů, s nimiž se bude v populaci nakládat společně.
 Kategorie	Označení kategorie, ke které patří činitele v dané populaci.
 Úroveň dovednosti	Úroveň dovednosti, kterou projevuje činitel a která udává míru jeho schopnosti provádět akce na artefaktech, na něž může působit.
	
 Historie provozu akčního členu	Vlastnosti historie akčních členů. HISTORIE: Přidáno do IFC4.
 Poloha	Udává polohu akčního členu v čase, kde 0,0 je zcela uzavřená a 1,0 zcela otevřená poloha.
 Kvalita	Udává kvalitu měření nebo chybového stavu, která může být blíže určena stavem.  True: měřené hodnoty jsou považovány za spolehlivé; False: měřené hodnoty jsou považovány za nespolehlivé (tj. byla zjištěna chyba); Unknown: spolehlivost hodnot je nejistá.
 Stav	Udává chybový kód nebo identifikátor, jejichž význam se vztahuje ke konkrétnímu automatizovanému systému.  Příklady hodnot: „ChybaKonfigurace“, „NeníPřipojeno“, „PoruchaZařízení“, „PoruchaSnímače“, „PosledníZnámý“, „PoruchaKomunikace“, „MimoProvoz“.
	
 Typ akčního členu - všeobecně	Všeobecné atributy typu akčního členu.
 Reference	Referenční ID pro tento určený typ v tomto projektu (např. typ „A-1“) za předpokladu, že není použita žádná klasifikační reference pro rozpoznaný klasifikační systém.
 Stav	Stav prvku, který se používá převážně při obnově nebo modifikování projektů. Stav může být označen jako „Nový“ - prvek navržený jako nové doplnění, „Stávající“ - prvek existuje a zůstává, „Zbourat“ - prvek existuje, ale má být zbourán, „Dočasný“ - prvek bude existovat pouze dočasně (jako dočasná nosná konstrukce).
 Chybová poloha	Určuje požadovanou bezpečnou polohu akčního členu.
 Ruční přepsání	Udává, zda je ručně ovládaná operace poskytnuta jako přepsání (= TRUE) či nikoli (= FALSE). V případě ručně ovládaného akčního členu je tuto hodnotu nutné implicitně nastavit na FALSE.
 Použití	Udává způsob použití akčního členu.
	
 Typ akčního členu - elektrický akční člen	Zařízení, které elektricky pohání ovládací prvek.
 Příkon akčního členu	Maximální požadovaný příkon.
 Typ elektrického akčního členu	Výčet identifikující elektrický akční člen definovaný principem funkce.
	
 Typ akčního členu - hydraulický akční člen	Zařízení, které hydraulicky pohání ovládací prvek.
 Vstupní tlak	Maximální výpočtový tlak akčního prvku.
 Vstupní průtoková rychlost	Maximální požadovaná rychlost průtoku kapaliny.
	
 Typ akčního členu - lineární pohon	"Charakteristika lineárního pohonu akčního členu
Historie: Nahrazuje Pset_LineárníAkčníČlen"
 Síla	Udává maximální uzavírací sílu akčního členu.
 Zdvih	Udává maximální vzdálenost, kterou musí akční člen překonat.
	
 Typ akčního členu - pneumatický akční člen	Zařízení, které pneumaticky pohání ovládací prvek
 Vstupní tlak	Maximální požadovaný vstupní ovládací tlak vzduchu.
 Vstupní průtoková rychlost	Maximální požadovaná vstupní ovládací průtoková rychlost vzduchu.
	
 Typ akčního členu - rotační pohon	"Charakteristika rotačního pohonu akčního členu
Historie: Nahrazuje Pset_RotačníAkční člen"
 Krouticí moment	Udává maximální uzavírací krouticí moment akčního členu.
 Úhlový rozsah	Udává maximální rotační posuv, který musí akční člen překonat.
	
 Strana vzduchu - informace o systému	Atributy, které se vztahují ke straně vzduchu ve vzduchotechnickém systému. HISTORIE: Nový soubor vlastností ve verzi IFC 1.0.
 Název	Název systému na straně vzduchu.
 Popis	Popis systému na straně vzduchu.
 Typ systému na straně vzduchu	Tento výčet určuje základní typy možných systémů na straně vzduchu (např. s konstantním objemem, s proměnným objemem atd.).
 Typ rozvodů v systému na straně vzduchu	Tento výčet definuje základní typy systémů na straně vzduchu (např. jednokanálový, dvoukanálový, multizónový atd.).
 Celkový průtok vzduchu	Celková výpočtová průtoková rychlost přívodu vzduchu potřebná v systému k vytápění nebo chlazení podle toho, která hodnota je větší.
 Celkový energetický zisk	Celkové množství získané energie v prostoru zásobovaném systémem v podmínkách špičkového chlazení včetně případných energetických zisků na úrovni systému.
 Praktický průtok vzduchu	Průtoková rychlost vzduchu nutná k pokrytí praktického špičkového zatížení.
 Praktický energetický zisk	Součet všech energetických zisků v prostoru zásobovaném systémem v podmínkách špičkového chlazení včetně případných energetických zisků na úrovni systému.
 Energetická ztráta	Součet energetických ztrát v prostoru zásobovaném systémem v podmínkách špičkového vytápění.
 Rozdílnost osvětlení	Rozdílnost osvětlení.
 Rozdílnost infiltrace v létě	Činitel rozdílnosti pro infiltraci v létě.
 Rozdílnost infiltrace v zimě	Činitel rozdílnosti pro infiltraci v zimě.
 Rozdílnost přístrojů	Rozdílnost přístrojového zatížení.
 Činitel bezpečnosti zatížení	Činitel bezpečnosti zatížení.
 Rozdíl teplot ohřevu	Rozdíl teplot ohřevu pro výpočet průtokových rychlostí vzduchu v prostoru.
 Rozdíl teplot chlazení	Rozdíl teplot chlazení pro výpočet průtokových rychlostí vzduchu v prostoru.
 Ventilace	Požadovaná ventilace venkovním vzduchem.
 Výkon ventilátoru	Zatížení motoru ventilátoru přispívající ke chladicímu zatížení.
	
 Historie provozu koncové vzduchové komory	Atributy historie provozu koncové vzduchové komory.
 Poloha klapky	Ovládání polohy klapky v rozsahu od 0 do 1.
 Atmosférický tlak	Tlak okolní atmosféry.
 Zvuk	Akustický výkon.
 Křivka průtoku vzduchu	Vztah průtoku vzduchu a polohy klapky; průtok vzduchu = f (poloha ventilu).
	
 Typ koncové vzduchové komory - všeobecně	Všeobecné atributy typu koncové vzduchové komory.
 Reference	Referenční ID pro tento určený typ v tomto projektu (např. typ „A-1“) za předpokladu, že není použita žádná klasifikační reference pro rozpoznaný klasifikační systém.
 Stav	Stav prvku, který se používá převážně při obnově nebo modifikování projektů. Stav může být označen jako „Nový“ - prvek navržený jako nové doplnění, „Stávající“ - prvek existuje a zůstává, „Zbourat“ - prvek existuje, ale má být zbourán, „Dočasný“ - prvek bude existovat pouze dočasně (jako dočasná nosná konstrukce).
 Rozsah průtokové rychlosti vzduchu	Rozsah průtoku vzduchu, který lze dodat.
 Rozsah tlaku vzduchu	Přípustný rozsah statického tlaku vzduchu na vstupu do koncové vzduchové komory.
 Jmenovitá průtoková rychlost vzduchu	Jmenovitá průtoková rychlost vzduchu.
